Mov. Entrada,Fecha efecto,Estado,Aportación,Trasp. Entrada,Fecha VL Inicial,VL Inicial,No Part,No Part Total,Valor total,Rescates,Trasp. Salida
1301848,20/12/2021,En Vigor,20000,0,23/12/2021,168.59,118.631,118.631,22895.78,0,0
2090185,20/12/2023,En Vigor,100,0,22/12/2023,164.63,0.607,119.238,117.15,0,0
2123250,20/01/2024,En Vigor,100,0,23/01/2024,167.37,0.597,119.835,115.22,0,0
2156608,20/02/2024,En Vigor,100,0,22/02/2024,173.52,0.576,120.411,111.16,0,0
2191732,20/03/2024,En Vigor,100,0,22/03/2024,180.83,0.553,120.964,106.72,0,0
2228982,20/04/2024,En Vigor,100,0,23/04/2024,176.23,0.567,121.531,109.43,0,0
2263006,20/05/2024,En Vigor,100,0,22/05/2024,183.77,0.544,122.075,104.99,0,0
2301134,20/06/2024,En Vigor,100,0,24/06/2024,185.7,0.539,122.614,104.02,0,0
2334878,20/07/2024,En Vigor,100,0,23/07/2024,186.39,0.537,123.151,103.64,0,0
2366753,20/08/2024,En Vigor,100,0,22/08/2024,186.08,0.537,123.688,103.64,0,0
2397142,20/09/2024,Anulada,100,0,24/09/2024,188.36,0.531,124.219,102.48,0,0
2432839,20/10/2024,En Vigor,100,0,23/10/2024,190.99,0.524,124.743,101.13,0,0
2470429,20/11/2024,En Vigor,100,0,22/11/2024,195.19,0.512,125.255,98.81,0,0
2507245,20/12/2024,En Vigor,100,0,27/12/2024,194.57,0.514,125.769,99.2,0,0
